Date,ETH,BNB,SOL,SPY,NVDA,Oil,Gold,Nasdaq,Energy,Layer0,SmartContract,Lending,Exchange,SocialTokens,Gaming,RealWorldAssets
2020-12-22,0.7009163044559072,0.5684753222496343,0.26483436120377163,0.09828206931168668,0.1260622438311262,0.04711324259414349,0.17373358142651743,0.1558049427044538,0.4784379972537313,0.5713960831315475,0.16192114445420233,-0.015131756112168875,-0.08140064873596385,,-0.020070583983328137,-0.04480750184870166
2020-12-23,0.6955773905191456,0.5637995806704,0.26723029936421644,0.09752661294383226,0.12582404460337882,0.02970666731883792,0.16183808690556403,0.15948449724730906,0.4749883459590012,0.5670738866978416,0.1683323332449397,-0.009980815385454804,-0.07579505794329322,,-0.014810919838674224,-0.042064617204987304
2020-12-24,0.6965483843959343,0.5648504007842952,0.27287637407317095,0.1102787432574151,0.14066986468359619,0.02873497952815688,0.15991365439785393,0.17399279000356535,0.4772655471455769,0.5659092354258589,0.17247811463817544,-0.01147012202332687,-0.07808043984620561,,-0.01681914776812143,-0.04319325027392711
2020-12-25,0.6971729673356314,0.5787309983461673,0.27996423704241163,0.10767328464856345,0.13970166950069038,0.02725359736583165,0.15884030191369622,0.17091071185971968,0.46935532459701723,0.5664618693343997,0.1739167748303739,-0.010107944282136952,-0.08037908135361066,,-0.01917713534409895,-0.04429969192597463
2020-12-26,0.6856564759969599,0.5690761021223818,0.24905745736948348,0.10115708811547751,0.13608439567420172,0.023956134331982345,0.15478258268474956,0.1626802053700893,0.4708320274203048,0.5489641056789325,0.17226964660053803,-0.012037930317596661,-0.08402463304571021,,-0.023683204893544252,-0.04598684225682494
2020-12-27,0.6615951672028106,0.5761373634386578,0.2460489585342732,0.11478978178109711,0.14015220010040222,0.026438370518077018,0.16103173345625443,0.17539179034636265,0.46935047455268575,0.5561415220349503,0.16919244511402606,-0.015515671092860558,-0.08401096407663446,,-0.024066782789896844,-0.04598000081025311
2020-12-28,0.6623923397434974,0.5876785364349456,0.25511902032690087,0.12141549116070678,0.13687031477917005,0.022655950437372917,0.1598135127708658,0.1791146259017803,0.46873868913415734,0.5015522980196392,0.1795788601727223,-0.017584160369624298,-0.08524831031320441,,-0.025297871790139384,-0.04657763453633387
2020-12-29,0.6622663883186622,0.571912291046428,0.2515756534067377,0.1263764172785593,0.14504342661690753,0.028836746557962954,0.15762329797120617,0.18269925291186456,0.4679650427302804,0.4819354358467696,0.17874518681344553,-0.020581053984184725,-0.07706295876668726,,-0.026465506327503906,-0.04726724902200509
2020-12-30,0.6594068146657602,0.5481285706187098,0.23153518739134749,0.13211480151951183,0.15916523974670982,0.015061264596064277,0.1785019864175263,0.19429751129988077,0.4557461545458523,0.4622473528438129,0.17816048931614734,-0.02414170188191125,-0.08265616297435577,,-0.03120081665932411,-0.04962689747535538
2020-12-31,0.6576983473419391,0.5475354517250614,0.22765799129511186,0.12497526081073805,0.15186546254805916,0.0023674200705520064,0.17593067922360572,0.18699706329499666,0.4535278778769858,0.39841782023580535,0.1770455200395809,-0.02593267523091533,-0.08361432857025979,,-0.03192758234853164,-0.05006388976521556
2021-01-01,0.6564466142420057,0.5548093197676268,0.21776895509198096,0.1242353038067371,0.1519975717559482,0.001475900613700157,0.17616480135045448,0.18628981307302592,0.4509472670988329,0.3890581446186441,0.18003174704724234,-0.027716313655871284,-0.08507454185992194,,-0.0330576184770556,-0.050720474211699444
2021-01-02,0.6636157686138631,0.5396405102704951,0.20146379063754571,0.11495994198345566,0.14600713933362583,-0.0031930491903956466,0.16964026197527193,0.17445916776764767,0.411428934321917,0.41441643658092187,0.17033474225611878,-0.032549234294696826,-0.08888098569353975,,-0.037448512872890624,-0.0518845987144744
2021-01-03,0.5639712755785303,0.5325042223753504,0.2020160634609855,0.11791818542286304,0.15140961434528846,-0.002446571128042902,0.1704110796840542,0.17923052609666437,0.4114928535002899,0.4138139536188526,0.1720600320380275,-0.03291066349534864,-0.06379071185416366,,-0.038036882770850655,-0.052196010146864064
