,BTC,ETH,BNB,SOL,SPY,NVDA,Oil,Gold,Nasdaq,Energy,Layer0,SmartContract,Lending,Exchange,SocialTokens,Gaming,RealWorldAssets,Energy_Median,Layer0_Median,SmartContract_Median,Lending_Median,Exchange_Median,SocialTokens_Median,Gaming_Median,RealWorldAssets_Median,BTC_pct_change,ETH_pct_change,BNB_pct_change,SOL_pct_change,SPY_pct_change,NVDA_pct_change,Oil_pct_change,Gold_pct_change,Nasdaq_pct_change,Energy_pct_change,Layer0_pct_change,SmartContract_pct_change,Lending_pct_change,Exchange_pct_change,SocialTokens_pct_change,Gaming_pct_change,RealWorldAssets_pct_change,Energy_Median_pct_change,Layer0_Median_pct_change,SmartContract_Median_pct_change,Lending_Median_pct_change,Exchange_Median_pct_change,SocialTokens_Median_pct_change,Gaming_Median_pct_change,RealWorldAssets_Median_pct_change,Corr_ETH,Corr_BNB,Corr_SOL,Corr_SPY,Corr_NVDA,Corr_Oil,Corr_Gold,Corr_Nasdaq
2020-04-10,6865.493164,158.412445,13.737724,0.951054,261.114288,6.551233,22.76,1736.2,8153.58,0.05612453107,0.03392311215,0.02875081659,0.02344159636,0.1295475585,0.00881474323,0.03294162602,0.2114469926,0.05612453107,0.03392311215,0.02875081659,0.02344159636,0.1295475585,0.00881474323,0.03294162602,0.2114469926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,6859.083008,158.216019,13.804288,0.776819,261.114288,6.551233,22.76,1736.2,8153.58,0.05637390661,0.03331176263,0.02898480808,0.02237497113,0.125799372,0.00881474323,0.03167559824,0.2114469926,0.05637390661,0.03331176263,0.02898480808,0.02237497113,0.125799372,0.00881474323,0.03167559824,0.2114469926,-0.0009336774280999105,-0.0012399657110273576,0.004845344105035121,-0.18320200535405973,0.0,0.0,0.0,0.0,0.0,0.004443253872161046,-0.018021622464848064,0.008138603272972444,-0.04550139050342383,-0.02893289957293943,0.0,-0.03843246168939429,0.0,0.004443253872161046,-0.018021622464848064,0.008138603272972444,-0.04550139050342383,-0.02893289957293943,0.0,-0.03843246168939429,0.0,,,,,,,,
2020-04-12,6971.091797,161.142426,14.375111,0.882507,261.114288,6.551233,22.76,1736.2,8153.58,0.05912810831,0.03325790798,0.02888162077,0.02237491952,0.1297653023,0.00881474323,0.0337032483,0.2114469926,0.05912810831,0.03325790798,0.02888162077,0.02237491952,0.1297653023,0.00881474323,0.0337032483,0.2114469926,0.01632999467557994,0.01849627502004081,0.041351136690280565,0.13605228502392452,0.0,0.0,0.0,0.0,0.0,0.04885596662750058,-0.0016166856914229255,-0.003560048067773769,-2.3065951548773e-06,0.03152583543898779,0.0,0.06401299967997076,0.0,0.04885596662750058,-0.0016166856914229255,-0.003560048067773769,-2.3065951548773e-06,0.03152583543898779,0.0,0.06401299967997076,0.0,,,,,,,,
2020-04-13,6845.037598,156.279556,15.034427,0.777832,258.730316,6.723144,22.41,1744.8,8192.42,0.05761572495,0.03260105568,0.02854252251,0.0219359473,0.1261808904,0.00881474323,0.03368459889,0.2114469926,0.05761572495,0.03260105568,0.02854252251,0.0219359473,0.1261808904,0.00881474323,0.03368459889,0.2114469926,-0.018082418460512506,-0.030177465492544964,0.04586510671117594,-0.11861095719354076,-0.009129994449020629,0.026241014477732527,-0.015377855887522052,0.004953346388664848,0.004763551715933456,-0.025578077892679962,-0.01975025910814987,-0.01174097058819601,-0.01961894073440673,-0.027622267558960578,0.0,-0.0005533416195969698,0.0,-0.025578077892679962,-0.01975025910814987,-0.01174097058819601,-0.01961894073440673,-0.027622267558960578,0.0,-0.0005533416195969698,0.0,,,,,,,,
2020-04-14,6842.427734,157.59639,15.525076,0.661925,266.361053,7.074435,20.11,1768.9,8515.74,0.05676755293,0.03369313369,0.02866789217,0.02220421122,0.1278829335,0.00881474323,0.04100223698,0.2114469926,0.05676755293,0.03369313369,0.02866789217,0.02220421122,0.1278829335,0.00881474323,0.04100223698,0.2114469926,-0.00038127825634770574,0.008426143724135082,0.0326350315845092,-0.1490128973865822,0.029493014649276672,0.05225100042480135,-0.10263275323516285,0.013812471343420452,0.0394657500469946,-0.014721189757415432,0.03349824069255436,0.004392381926162203,0.012229420335997832,0.01348891337352609,0.0,0.2172398761195402,0.0,-0.014721189757415432,0.03349824069255436,0.004392381926162203,0.012229420335997832,0.01348891337352609,0.0,0.2172398761195402,0.0,,,,,,,,
2020-04-15,6642.109863,153.286896,14.593927,0.646651,260.701385,6.996951,19.87,1740.2,8393.18,0.05488311322,0.03283577352,0.02791748942,0.02221528314,0.1234063357,0.00881474323,0.04274651103,0.2114469926,0.05488311322,0.03283577352,0.02791748942,0.02221528314,0.1234063357,0.00881474323,0.04274651103,0.2114469926,-0.029275847518947296,-0.027345131446221527,-0.05997709769665538,-0.023075121803829757,-0.02124810641892161,-0.010952676786202709,-0.01193436101442058,-0.016224772457459458,-0.014392172612127552,-0.03319571855287995,-0.025446139201188767,-0.02617572110115829,0.0004986405457190202,-0.03500543565494607,0.0,0.04254094845729561,0.0,-0.03319571855287995,-0.025446139201188767,-0.02617572110115829,0.0004986405457190202,-0.03500543565494607,0.0,0.04254094845729561,0.0,,,,,,,,
2020-04-16,7116.804199,172.157379,15.70273,0.690816,261.959045,7.342264,19.75,1731.7,8532.36,0.05878742004,0.03437072584,0.02854130361,0.02397712695,0.1385023632,0.00881474323,0.04529046343,0.2114469926,0.05878742004,0.03437072584,0.02854130361,0.02397712695,0.1385023632,0.00881474323,0.04529046343,0.2114469926,0.07146740204408464,0.12310565020508979,0.07597701427449932,0.06829804639596948,0.00482414007888754,0.04935192485984241,-0.006039255158530543,-0.004884496034938568,0.016582511038724324,0.07113858144944363,0.04674634264562316,0.022344924381097808,0.0793077359805372,0.12232781578328655,0.0,0.05951251549429659,0.0,0.07113858144944363,0.04674634264562316,0.022344924381097808,0.0793077359805372,0.12232781578328655,0.0,0.05951251549429659,0.0,,,,,,,,
2020-04-17,7096.18457,171.63858,15.735083,0.660728,269.03598,7.282969,18.27,1689.2,8650.14,0.05837261165,0.03440659329,0.02794514289,0.02405169659,0.1345319565,0.00881474323,0.04239312881,0.2114469926,0.05837261165,0.03440659329,0.02794514289,0.02405169659,0.1345319565,0.00881474323,0.04239312881,0.2114469926,-0.002897315764693542,-0.003013515906280184,0.0020603423735872095,-0.04355428942004813,0.02701542525473788,-0.008075846904987416,-0.07493670886075954,-0.024542357221227662,0.013803918259426284,-0.0070560740668285105,0.0010435464810074624,-0.020887648586279783,0.0031100323302080124,-0.028666707255143864,0.0,-0.06397228909962593,0.0,-0.0070560740668285105,0.0010435464810074624,-0.020887648586279783,0.0031100323302080124,-0.028666707255143864,0.0,-0.06397228909962593,0.0,,,,,,,,
2020-04-18,7257.665039,186.914001,16.593172,0.681096,269.03598,7.282969,18.27,1689.2,8650.14,0.06073180383,0.03622624724,0.02900230832,0.02610658536,0.1479920574,0.00881474323,0.0419,0.2114469926,0.06073180383,0.03622624724,0.02900230832,0.02610658536,0.1479920574,0.00881474323,0.0419,0.2114469926,0.02275595672675701,0.08899759599502644,0.05453349054466372,0.03082660338293519,0.0,0.0,0.0,0.0,0.0,0.04041608064661606,0.05288678058483831,0.0378300241355467,0.08543633345409662,0.10005132795344429,0.0,-0.011632281547562462,0.0,0.04041608064661606,0.05288678058483831,0.0378300241355467,0.08543633345409662,0.10005132795344429,0.0,-0.011632281547562462,0.0,,,,,,,,
2020-04-19,7189.424805,181.61496,16.139933,0.606969,269.03598,7.282969,18.27,1689.2,8650.14,0.0594019352,0.03463981928,0.02799828727,0.0248076477,0.140784138,0.00881474323,0.04677558284,0.2114469926,0.0594019352,0.03463981928,0.02799828727,0.0248076477,0.140784138,0.00881474323,0.04677558284,0.2114469926,-0.009402505300713515,-0.028350155534897614,-0.027314789480878066,-0.10883487790267454,0.0,0.0,0.0,0.0,0.0,-0.02189740047442945,-0.04379222472286104,-0.03461865996740765,-0.04975517257765183,-0.04870477190892808,0.0,0.11636235894988078,0.0,-0.02189740047442945,-0.04379222472286104,-0.03461865996740765,-0.04975517257765183,-0.04870477190892808,0.0,0.11636235894988078,0.0,,,,,,,,
